U1,N1,N2,N_1_1_1,N_1_1_2,N_1_2_1,N_1_2_2,N_1_3_1,N_1_3_2,N_1_4_1,N_1_4_2,N_2_1_1,N_2_1_2,N_2_2_1,N_2_2_2,N_2_3_1,N_2_3_2,N_2_4_1,N_2_4_2
7, 10, 22, 42, 42, 44, 32, 42, 42, 36, 32, 42, 42, 44, 32, 42, 42, 36, 32
8, 8, 30, 26, 44, 24, 42, 26, 44, 24, 42, 26, 44, 24, 42, 26, 44, 24, 42
7, 10, 22, 32, 26, 26, 28, 24, 42, 26, 44, 32, 26, 26, 28, 24, 42, 26, 44
8, 8, 16, 26, 32, 24, 42, 26, 40, 24, 34, 26, 32, 24, 42, 26, 40, 24, 34
9, 8, 12, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32, 24, 34, 26, 32
8, 10, 14, 24, 26, 26, 28, 32, 26, 26, 28, 24, 26, 26, 28, 32, 26, 26, 28
8, 8, 10, 28, 24, 28, 24, 26, 22, 26, 22, 28, 24, 28, 24, 26, 22, 26, 22
9, 12, 8, 32, 26, 34, 24, 34, 24, 32, 26, 32, 26, 34, 24, 34, 24, 32, 26
9, 14, 8, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26
9, 20, 8, 40, 26, 40, 26, 42, 24, 42, 24, 40, 26, 40, 26, 42, 24, 42, 24
8, 10, 20, 32, 42, 26, 40, 24, 42, 26, 40, 32, 42, 26, 40, 24, 42, 26, 40
6, 10, 24, 24, 60, 22, 26, 24, 60, 22, 26, 24, 60, 22, 26, 24, 60, 22, 26
5, 12, 12, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28
7, 10, 16, 22, 62, 24, 72, 24, 72, 22, 62, 22, 62, 24, 72, 24, 72, 22, 62
7, 8, 32, 24, 74, 26, 32, 24, 34, 26, 72, 24, 74, 26, 32, 24, 34, 26, 72
7, 16, 10, 28, 24, 28, 24, 42, 22, 42, 22, 28, 24, 28, 24, 42, 22, 42, 22
7, 16, 10, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22
9, 8, 20, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42
9, 8, 20, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40
7, 16, 10, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24, 42, 22, 28, 24
7, 22, 10, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42
8, 10, 14, 24, 26, 26, 28, 32, 26, 26, 28, 24, 26, 26, 28, 32, 26, 26, 28
8, 8, 10, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22, 28, 24, 26, 22
5, 12, 12, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
7, 8, 32, 24, 74, 26, 72, 24, 34, 26, 32, 24, 74, 26, 72, 24, 34, 26, 32
4, 12, 36, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84, 28, 52, 28, 84
8, 16, 8, 34, 24, 32, 26, 42, 24, 40, 26, 34, 24, 32, 26, 42, 24, 40, 26
5, 12, 12, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84
8, 10, 14, 26, 28, 24, 26, 32, 26, 26, 28, 26, 28, 24, 26, 32, 26, 26, 28
7, 10, 16, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42, 24, 28, 22, 42
7, 10, 14, 36, 32, 42, 26, 44, 32, 42, 26, 36, 32, 42, 26, 44, 32, 42, 26
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
9, 8, 20, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42, 26, 40, 24, 42
8, 8, 30, 26, 44, 26, 44, 24, 42, 24, 42, 26, 44, 26, 44, 24, 42, 24, 42
4, 36, 12, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28
5, 12, 12, 60, 32, 28, 24, 28, 24, 28, 32, 60, 32, 28, 24, 28, 24, 28, 32
